Code,Acronym,Object Class,Definition,Distinction
140,T_HMON,Tide - harmonic prediction,"Tide - the periodic rise and fall of the surface of the sea, due principally to the gravitational interaction between moon, sun and earth. (adopted from IHO Dictionary, S-32, 5th Edition, 5429) Predicted tidal heights may be calculated using parameters (harmonic constituents) and an appropriate harmonic calculation algorithm. ",tide - non-harmonic prediction; tide - time series;
141,T_NHMN,Tide - non-harmonic prediction,"Tide - the periodic rise and fall of the surface of the sea, due principally to the gravitational interaction between moon, sun and earth. (adopted from IHO Dictionary, S-32, 5th Edition, 5429) Predicted tidal heights may be calculated using time and height differences with respect to a reference port (and associated tidal predictions). ",tide - harmonic prediction; tide - time series;
142,T_TIMS,Tide - time series,"Tide - the periodic rise and fall of the surface of the sea, due principally to the gravitational interaction between moon, sun and earth. (adopted from IHO Dictionary, S-32, 5th Edition, 5429) Tidal heights over time may be approximated by a series of height values given at regular time intervals, starting from a specified moment in time. ",various tide prediction models;
143,TIDEWY,Tideway,"A natural water course in intertidal areas where water flows during the ebb or flow.  A channel through which a tidal current runs. (IHO Dictionary, S-32, 5th Edition, 5502) ",canal; river; sea area;
144,TOPMAR,Topmark,"A characteristic shape secured at the top of a buoy or beacon to aid in its identification. (IHO Dictionary, S-32, 5th Edition, 5548) ",various beacons and buoys; daymark; 
145,TSELNE,Traffic separation line,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585) A traffic separation line is a line separating traffic lanes in which ships are travelling in opposite or nearly opposite directions; or separating traffic lanes designated for particular classes of ships proceeding in the same direction (IMO Ships Routeing, 6th Edition). ",various traffic separation scheme elements;
146,TSSBND,Traffic separation scheme boundary,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585) The boundary of a traffic separation scheme is the outer limit of a traffic lane part or a traffic separation scheme roundabout. ",various traffic separation scheme elements;
147,TSSCRS,Traffic separation scheme crossing,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585) A traffic separation scheme crossing is a defined area where traffic lanes cross. ",various traffic separation scheme elements;
148,TSSLPT,Traffic separation scheme lane part,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585) A traffic lane is an area within defined limits in which one-way traffic flow is established (IMO Ships Routeing, 6th Edition). A traffic separation scheme lane part is an area of a traffic lane in which the direction of flow of traffic is uniform. ",various traffic lane and separation elements;
149,TSSRON,Traffic separation scheme roundabout,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585)  A roundabout is a traffic separation scheme in which traffic moves in a counter-clockwise direction around a specified point or zone. (IHO Dictionary, S-32, 5th Edition, 4448) ",various traffic separation scheme elements;
150,TSEZNE,Traffic separation zone,"A traffic separation scheme is a scheme which aims to reduce the risk of collision in congested and/or converging areas by separating traffic moving in opposite, or nearly opposite, directions. (IHO Dictionary, S-32, 5th Edition, 5585) A traffic separation zone is a zone separating the lanes in which ships are proceeding in opposite or nearly opposite directions; or separating traffic lanes designated for particular classes of ships proceeding in the same direction (IMO Ships Routeing, 6th Edition). ",various traffic separation scheme elements;
151,TUNNEL,Tunnel,"A passage that is open to the atmosphere at both ends, buried under the sea bed or laid over the sea floor or bored under the ground or through mountains. ",railway; road;
152,TWRTPT,Two-way route part,"A two-way route is a route within defined limits inside which two-way traffic is established, aimed at providing safe passage of ships through waters where navigation is difficult or dangerous. (IHO Dictionary, S-32, 5th Edition, 5712) A two-way route part is an area of a two-way route within which traffic flow is generally along one bearing (and possibly its reciprocal). ",various traffic lane parts;
153,UWTROC,Underwater/awash rock,"A concreted mass of stony material or coral which dries, is awash or is below the water surface. ",obstruction; sounding; wreck;
154,UNSARE,Unsurveyed area,An area for which no bathymetric survey information is available. ,Not specified
155,VEGATN,Vegetation,"Collections of, or individual plants. ",seabed area; weed/kelp;
156,WATTUR,Water turbulence,"The disturbance of water caused by the interaction of any combination of waves, currents, tidal streams, wind, shoal patches and obstructions. ",Not specified
157,WATFAL,Waterfall,"A sudden descent of water over a step in the bed of a river.  In place names commonly shortened to fall or falls, e.g. Niagara Falls. ",rapids;
158,WEDKLP,Weed/Kelp,"Seaweed is the general name for marine plants of the Algae class which grow in long narrow ribbons. (International Maritime Dictionary, 2nd Ed.)  Kelp is one of an order (laminariales) of usually large, blade-shaped or vine-like brown algae. (IHO Dictionary, S-32, 5th Edition, 2611) ",seabed area; vegetation;
159,WRECKS,Wreck,"The ruined remains of a stranded or sunken vessel which has been rendered useless. (IHO Dictionary, S-32, 5th Edition, 6027) ",various depth and underwater objects;
,,Meta Object Classes,,
300,M_ACCY,Accuracy of data,"An area within which the best estimate of the overall accuracy of the data is uniform. The overall accuracy takes into account for example the source accuracy, chart scale, digitising accuracy etc. ",quality of data; survey reliability;
301,M_CSCL,Compilation scale of data,"An area within which the data was originally compiled at a uniform scale. For example, it may define the scale of the paper chart from which the data was digitised. ",Not specified
302,M_COVR,Coverage,A geographical area that describes the coverage and extent of spatial objects. ,Not specified
303,M_HDAT,Horizontal datum of data,An area of uniform horizontal datum.,horizontal datum shift parameters;
304,M_HOPA,Horizontal datum shift parameters,An area within which a uniform shift exists between a specific geodetic datum and the datum of the data within this area. ,horizontal datum of data;
305,M_NPUB,Nautical publication information,Used to relate additional nautical information or publications to the data. ,Not specified
306,M_NSYS,Navigational system of marks,An area within which a specific system of navigational marks applies and/or a common direction of buoyage. ,Not specified
307,M_PROD,Production information,An area within which uniform data production parameters apply. ,Not specified
308,M_QUAL,Quality of data,An area within which a uniform assessment of the quality of the data exists. ,accuracy of data; survey reliability;
309,M_SDAT,Sounding datum,An area of uniform sounding datum.,vertical datum;
310,M_SREL,Survey reliability,An area within which a uniform assessment of the reliability of source survey information exists. ,accuracy of data; quality of data;
311,M_UNIT,Units of measurement of data,An area of uniform units of depth and/or height measurement. ,Not specified
312,M_VDAT,Vertical datum of data,An area of uniform vertical datum.,sounding datum;
,,Collection Object Classes,,
400,C_AGGR,Aggregation,Used to identify an aggregation of two or more objects. This aggregation may be named. ,association; stacked on/under;
401,C_ASSO,Association,Used to identify an association between two or more objects. The association may be named. ,aggregation; stacked on/under;
402,C_STAC,Stacked on/stacked under,Used to identify the order of stacking of objects (eg. bridge on top of road). ,aggregation; association;
,,Cartographic Object Classes,,
500,$AREAS,Cartographic area,An area in which a certain cartographic symbolization is required. ,Not specified
501,$LINES,Cartographic line,A line with a certain cartographic symbolization. ,Not specified
502,$CSYMB,Cartographic symbol,A point with a certain cartographic symbolization. ,Not specified
503,$COMPS,Compass,"A circle graduated in degrees clockwise form 0 (north) to 360 used to facilitate measurements of direction.  May be oriented to true or magnetic north. (adapted from IHO Dictionary, S-32, 5th Edition, 942) ",Not specified
504,$TEXTS,Text,A text string that is to be represented using a certain cartographic symbolization. ,Not specified
,,Obsolete - Deleted,,
,ACHPNT,Anchor (Deleted),"A heavy forging or casting comprising a shank with large shackle or ring at one end and two arms with palms at the other, so shaped as to grip the sea bottom, and by means of a cable or rope hold a vessel, boat, or any other floating structure in a desired position regardless of wind and current (International Maritime Dictionary, 2nd Ed.). ",chain/wire;
,BRTFAC,Berthing facility (Deleted),The designated length along the limit of land area or along a shoreline construction or area at a dolphin where a ship may be tied on and may safely lie. ,dock area;
,BUIREL,"Building, religious (Deleted) ",A structure designed for religious use.,"building, single; "
,CAIRNS,Cairn (Deleted),"A mound of stones, usually conical or pyramidal, raised as a landmark or to designate a point of importance in surveying (IHO Dictionary, S-32, 4th Edition). ",Not specified
,CEMTRY,Cemetery (Deleted),"An area of land for burying the dead with two or more graves (United States Geological Survey, Jan.89). ",Not specified
,CHNWIR,Chain/Wire (Deleted),"A connection between two independent objects, e.g. between an anchor and a mooring buoy, between an anchor and an offshore platform, between a hulk and a bollard on land, etc. ",anchor;
,CHIMNY,Chimney (Deleted),"A chimney is a vertical structure containing a passage or flue for discharging smoke and gases of combustion (Digital Geographic Information Working Group, Oct.87). ",Not specified
,DIFFUS,Diffuser (Deleted),"An artificial installation at or below water level, where liquids (e.g. cooling water, spillage) are spread out. ",Not specified
,DSHAER,Dish aerial (Deleted),"A parabolic aerial for the receipt and transmission of high frequency radio signals (IHO Dictionary, S-32, 4th Edition). ",Not specified
,DUNARE,Dune (Deleted),"A mound, ridge or hill of drifted material on the sea coast or in a desert (IHO Dictionary, S-32, 4th Edition). ",sand waves;
,DYKARE,Dyke area (Deleted),"A dyke (or dike) is an artificial embankment to contain or hold back water (IHO Dictionary, S-32, 4th Edition). The dyke area is the base of the dyke. ",dam; dyke crown;
,DYKCRW,Dyke crown (Deleted),"A dyke (or dike) is an artificial embankment to contain or hold back water (IHO Dictionary, S-32, 4th Edition). The dyke crown is the top line of the dyke. ",dam; dyke area;
,FSHHAV,Fish haven (Deleted),"Areas established by private interests, usually sport fishermen, to simulate natural reefs and wrecks that attract fish. The reefs are constructed by dumping assorted junk in areas which may be of very small extent or may stretch considerable distance along a depth contour. Also called fishery reefs (IHO Dictionary, S-32, 5th Edition, 1812). ",fishing facility; marine farm/culture;
,FLGSTF,Flagstaff/Flagpole (Deleted),"A pole on which a flag is hoisted and displayed (International Maritime Dictionary, 2nd Ed.). ",Not specified
,FLASTK,Flare stack (Deleted),"A tall structure used for burning-off waste oil or gas (IHO Dictionary, S-32, 4th Edition). ",Not specified
,HILARE,Hill (Deleted),"A small isolated elevation, smaller than a mountain (IHO Dictionary, S-32, 4th Edition). ",dune;
,ITDARE,Intertidal area (Deleted),"An intertidal zone is the zone generally considered to be between mean high water and mean low water levels (IHO Dictionary, S-32, 4th Edition). ",Not specified
,LNDPLC,Landing place (Deleted),"A landing is a place where boats receive or discharge passengers, freight, etc.. (IHO Dictionary, S 32, 4th Edition). ",Not specified
,LNDSTS,Landing stairs (Deleted),Steps at the shoreline as the connection between land and water on different levels.,Not specified
,LITMOI,"Light, moiré effect (Deleted) ","The moiré effect is the effect created by transmitting light through two separate, overlapping families of parallel lines (IHO Dictionary, S-32, 4th Edition). ",light;
,MSTCON,Mast (Deleted),"A straight piece of timber or a hollow cylinder of wood or metal set up vertically or nearly so (International Maritime Dictionary, 2nd Ed.). ",pylon;
,MONUMT,Monument (Deleted),"A structure erected or maintained as a memorial to a person or event (Digital Geographic Information Working Group, Oct.87). ",Not specified
,NATARE,National territorial area (Deleted),The whole area of a nation defined by authorities. The area is delimited by boundaries established by agreement between adjacent or opposite states. ,territorial sea area;
,PINGOS,Pingo (Deleted),"Small conical hills having a large central core of ice formed from the encroachment of permafrost and the resulting hydrostatic pressure (IHO Dictionary, S-32, 4th Edition). ",hill;
,PRDINS,Production installation (Deleted),An installation for the exploitation of natural resources.,offshore platform; Exclusive Economic Zone;
,RADDOM,Radar dome (Deleted),"A dome shaped structure used to protect the antenna of a radar installation (IHO Dictionary, S-32, 4th Edition). ",radar station;
,RMPARE,Ramp (Deleted),"A sloping structure that can either be used as a landing place at variable water levels, for small vessels, landing ships, or a ferry boat, or for hauling a cradle carrying a vessel (IHO Dictionary, S-32, 4th Edition). ",slipway;
,RODCRS,Road crossing (Deleted),The area where two roads are crossing.,road part; square; built-up area;
,ROADPT,Road part (Deleted),"A road is an open way for passage of vehicles (United States Geological Survey, Jan.89). ",square; built-up area; road crossing;
,SLTPAN,Salt pan (Deleted),"A flat area of the natural surface covered with salt deposits which result from the evaporation of sea water (Digital Geographic Information Working Group, Oct 1987). ",Not specified
,SILBUI,Silo (Deleted),"An enclosed container, used for storing grain or fodder (Digital Geographic Information Working Group, Oct.87). ",tank;
,SLIPWY,Slipway (Deleted),"The prepared, and usually reinforced, inclined surface on which keel- and bilge-blocks are laid for supporting a vessel under construction (IHO Dictionary, S-32, 4th Edition). ",ramp;
,SPOGRD,Spoil ground (Deleted),"A sea area where dredged material is deposited (IHO Dictionary, S-32, 4th Edition). ",dumping ground; dredged area;
,TNKCON,Tank (Deleted),"A fixed structure for storing liquids or gases (Derived from IHO Dictionary, S-32, 4th Edition). ",silo;
,TELPHC,Telepheric (Deleted),A construction of cables strung between elevated supports on which carrier units are suspended.,"cable, overhead; "
,TOWERS,Tower (Deleted),"A relatively tall structure which may be used for observation, support, storage or communication etc.. (Digital Geographic Information Working Group, Oct.87). ",Not specified
,TREPNT,Tree (Deleted),"A woody perennial plant having a self supporting main stem or trunk and a definite crown (United States Geological Survey, Jan.89). ",vegetation;
,TNLENT,Tunnel entrance (Deleted),"An opening that affords entry to an underground or underwater passage (United States Geological Survey, Jan.89). ",Not specified
,VEGARE,Vegetation area (Deleted),"A land area or an intertidal area, covered by any kind of plants. ",coastline; seabed area; tree; weed/kelp;
,WIRLNE,Weir (Deleted),"A dam erected across a river to raise the level of the water. The word is now restricted to smaller works, the larger are called dams (IHO Dictionary, S-32, 5th Edition, 5967). ",causeway; dam;
,WNDMIL,Windmill (Deleted),"A mill that runs on the energy generated by a wheel of adjustable blades or flats rotated by the wind (United States Geological Survey, Jan.89). ",windmotor;
,WIMCON,Windmotor (Deleted),"A modern structure for use of wind power (IHO Chart Specifications, M-4). ",windmill;
,ZEMCNT,Zero metre - contour (Deleted),The limit line between an area permanently covered by water and an intertidal area.,coastline; depth contour;
,M_SSOR,Survey source (Deleted),This object class defines an area within which the details of the source survey(s) used for chart compilation are uniform.,Not specified
,$CLOLN,Closing line (Deleted),"This object is obsolete. It is only shown here for reasons of backward compatibility. Closing lines should be encoded using the Masking indicator subfield (MASK) of the Feature Record to Spatial Record Pointer field (FSPT, refer to S-57 Part 3). ",Not specified
,$SHABL,Shallow water blue (Deleted),"An area that is to be cartographically represented by a ""shallow water blue"" tint. ",Not specified
